Country,TWh,Type,Population,kWhPerCap
Australia,3.2,Biomass,25978935,123.17671990787922
Australia,31.7,Wind,25978935,1220.2193815874284
Australia,38.8,Solar,25978935,1493.5177288830355
Australia,17.1,Hydro,25978935,658.2255970077296
Australia,NA,Nuclear,25978935,NA
Austria,4.7,Biomass,9042528,519.7661538897087
Austria,7.2,Wind,9042528,796.2375123416814
Austria,3.2,Solar,9042528,353.8833388185251
Austria,35.5,Hydro,9042528,3925.8932900180125
Austria,NA,Nuclear,9042528,NA
Belgium,4.5,Biomass,11669446,385.6224194361926
Belgium,11.9,Wind,11669446,1019.7570647312649
Belgium,6.8,Solar,11669446,582.7183227035799
Belgium,0.3,Hydro,11669446,25.708161295746173
Belgium,43.7,Nuclear,11669446,3744.8221620803592
Brazil,52.8,Biomass,215313498,245.2238270728387
Brazil,81.6,Wind,215313498,378.98227820347796
Brazil,30.1,Solar,215313498,139.7961589941751
Brazil,427.1,Hydro,215313498,1983.6192527047235
Brazil,14.6,Nuclear,215313498,67.80810369817131
Canada,8.5,Biomass,38929902,218.34116099239088
Canada,37.5,Wind,38929902,963.2698279076069
Canada,6,Solar,38929902,154.1231724652171
Canada,398.4,Hydro,38929902,10233.778651690416
Canada,86.6,Nuclear,38929902,2224.5111225813002
Chile,6.2,Biomass,19603733,316.2662947919154
Chile,9.4,Wind,19603733,479.50051145871043
Chile,14.5,Solar,19603733,739.655044271415
Chile,22.2,Hydro,19603733,1132.4373781258905
Chile,NA,Nuclear,19603733,NA
China,176.6,Biomass,1412175000,125.05532246357569
China,762.7,Wind,1412175000,540.0888700054879
China,427.7,Solar,1412175000,302.86614619292936
China,1303.1,Hydro,1412175000,922.7609892541647
China,417.8,Nuclear,1412175000,295.85568360861794
Denmark,7.5,Biomass,5903037,1270.5324394883514
Denmark,19,Wind,5903037,3218.682180037157
Denmark,1.9,Solar,5903037,321.8682180037157
Denmark,NA,Hydro,5903037,NA
Denmark,NA,Nuclear,5903037,NA
France,9.8,Biomass,67935660,144.25413692897072
France,38,Wind,67935660,559.3527758470294
France,20.1,Solar,67935660,295.8681788032971
France,44.6,Hydro,67935660,656.503521125724
France,294.7,Nuclear,67935660,4337.92797479262
Germany,50.4,Biomass,84079811,599.4304625637182
Germany,125.3,Wind,84079811,1490.2507333181327
Germany,60.8,Solar,84079811,723.122462775279
Germany,17.5,Hydro,84079811,208.13557727906883
Germany,34.7,Nuclear,84079811,412.70311609049645
Greece,0.5,Biomass,10566531,47.31921952436424
Greece,10.9,Wind,10566531,1031.5589856311403
Greece,7.2,Solar,10566531,681.396761150845
Greece,4.6,Hydro,10566531,435.336819624151
Greece,NA,Nuclear,10566531,NA
Italy,23.8,Biomass,58856847,404.37096468997055
Italy,20.7,Wind,58856847,351.7007970202685
Italy,27.5,Solar,58856847,467.2353583602601
Italy,28.2,Hydro,58856847,479.1286220276122
Italy,NA,Nuclear,58856847,NA
Netherlands,9.5,Biomass,17703090,536.6294810679943
Netherlands,21.2,Wind,17703090,1197.531052488577
Netherlands,17.7,Solar,17703090,999.8254542003684
Netherlands,0.1,Hydro,17703090,5.648731379663098
Netherlands,4.2,Nuclear,17703090,237.24671794585012
Poland,7.2,Biomass,37561599,191.68513033750241
Poland,19.4,Wind,37561599,516.4849345204926
Poland,8.1,Solar,37561599,215.64577162969022
Poland,2,Hydro,37561599,53.245869538195116
Poland,NA,Nuclear,37561599,NA
Portugal,3.7,Biomass,10379007,356.4888240271926
Portugal,13.3,Wind,10379007,1281.4327998815302
Portugal,3.1,Solar,10379007,298.6798255362965
Portugal,6.5,Hydro,10379007,626.2641503180411
Portugal,NA,Nuclear,10379007,NA
Romania,0.6,Biomass,18956666,31.651135278745745
Romania,7,Wind,18956666,369.26324491870037
Romania,1.8,Solar,18956666,94.95340583623724
Romania,13.8,Hydro,18956666,727.9761114111521
Romania,11.1,Nuclear,18956666,585.5460026567963
Spain,6.8,Biomass,47615034,142.81203705535526
Spain,62.7,Wind,47615034,1316.810988730996
Spain,33.8,Solar,47615034,709.8598312457362
Spain,18.2,Hydro,47615034,382.2322168246273
Spain,58.6,Nuclear,47615034,1230.7037310946791
Sweden,13.3,Biomass,10486941,1268.243999847048
Sweden,32.6,Wind,10486941,3108.6281500010346
Sweden,2.6,Solar,10486941,247.92739846634018
Sweden,69.8,Hydro,10486941,6655.897081904056
Sweden,51.5,Nuclear,10486941,4910.869623467892
US,74.2,Biomass,333287557,222.63057363404658
US,439.2,Wind,333287557,1317.7809695427663
US,206.2,Solar,333287557,618.684963387337
US,258.6,Hydro,333287557,775.9065544712191
US,812.1,Nuclear,333287557,2436.6346205958116
United Kingdom,35.5,Biomass,66971411,530.0769308862255
United Kingdom,80.2,Wind,66971411,1197.5259114669093
United Kingdom,13.9,Solar,66971411,207.55124899488828
United Kingdom,5.3,Hydro,66971411,79.13824601963366
United Kingdom,47.7,Nuclear,66971411,712.2442141767029
South Australia,3.758,Solar,1800000,2087.777777777778
South Australia,6.383,Wind,1800000,3546.1111111111113
